iter	Passed	Remaining
0	18	1853
1	36	1789
2	54	1761
3	72	1738
4	90	1713
5	108	1694
6	125	1670
7	142	1640
8	160	1624
9	178	1609
10	196	1588
11	214	1572
12	231	1552
13	250	1536
14	268	1520
15	285	1497
16	302	1476
17	320	1459
18	337	1440
19	357	1428
20	375	1413
21	394	1397
22	412	1380
23	431	1367
24	470	1411
25	488	1390
26	504	1364
27	521	1340
28	539	1319
29	557	1300
30	576	1282
31	594	1263
32	617	1254
33	639	1242
34	662	1231
35	680	1209
36	697	1187
37	716	1168
38	733	1146
39	750	1126
40	768	1105
41	785	1085
42	803	1065
43	821	1045
44	838	1025
45	856	1005
46	887	1000
47	905	981
48	923	961
49	941	941
50	958	921
51	978	903
52	997	884
53	1015	864
54	1032	844
55	1050	825
56	1069	806
57	1087	787
58	1105	768
59	1122	748
60	1141	729
61	1159	710
62	1177	691
63	1195	672
64	1212	653
65	1230	633
66	1249	615
67	1266	596
68	1285	577
69	1304	559
70	1323	540
71	1343	522
72	1368	506
73	1393	489
74	1413	471
75	1433	452
76	1452	433
77	1470	414
78	1490	396
79	1509	377
80	1528	358
81	1545	339
82	1563	320
83	1583	301
84	1602	282
85	1621	263
86	1641	245
87	1659	226
88	1677	207
89	1695	188
90	1713	169
91	1732	150
92	1750	131
93	1768	112
94	1788	94
95	1809	75
96	1827	56
97	1846	37
98	1866	18
99	1885	0
