id,off_spacing
2-2,480.7679397780647
2-3,575.9691909494103
2-4,722.3350567579438
2-6,476.747512622886
2-8,565.5627718826877
2-9,546.002173453192
2-10,346.6572883072264
2-11,543.038711766126
3-1,541.5565747144706
4-1,386.98868656858656
4-2,413.3547626526723
4-4,134.73443803645262
4-6,263.7818780680565
4-7,509.1893129310129
4-8,312.35626051180566
4-9,558.0855846926917
5-3,314.243784546603
5-4,374.7615120168497
5-5,174.37840766946977
6-1,459.96893656339716
6-3,608.4762046689799
6-4,76.68033463114466
7-1,278.10919691495894
8-1,605.1434688661327
8-2,222.19016462449946
8-3,422.3472196411333
8-4,346.60640706061406
8-6,492.27708232809914
8-7,553.2992044899904
9-1,596.9246056991826
9-2,602.8573498799033
10-3,405.73906412720964
10-6,744.4082996157103
10-7,343.61579994248314
10-8,466.63005832328594
10-9,385.5843646375604
10-10,213.54962388276482
10-12,269.28701890027685
10-13,424.532463776192
11-2,274.8957425087607
12-2,353.3791013589728
12-3,177.78786969647274
12-4,340.24766100049715
12-6,583.0115273069779
13-1,601.886138512913
14-1,491.3207513688243
15-1,328.33677355386476
15-2,559.584816980122
15-4,155.53837703602719
16-1,445.0096391591705
16-3,266.0266241016209
16-4,192.49757817156421
16-5,477.9697227445664
16-6,321.3449945429885
16-7,568.8600688381542
17-1,301.30102090971434
17-2,346.1147240488435
17-3,500.1920878180832
17-6,506.066957763633
17-7,394.9538085941708
17-8,182.78800751534325
18-3,673.3446371923861
19-1,190.79074843177136
20-2,199.38893005895108
20-4,453.35801930739126
21-1,653.902045721135
22-2,734.0999063106499
22-3,309.22373853798706
23-1,402.8138429856482
24-1,804.4157630949932
24-2,759.7800167022133
24-3,489.62431877176175
24-4,326.17520058503726
24-6,622.5468498667883
24-7,344.0900425319354
24-8,426.71708052298186
24-9,659.3554888046783
24-10,413.86557080845387
24-11,632.2138306883655
25-1,479.0389955003315
25-2,562.7485280181802
25-3,315.7911940260782
26-1,468.6723111094875
26-2,410.0853196017736
26-3,114.63252197904083
27-1,388.2922361369641
27-2,421.78865842606933
27-3,195.07633335416915
27-4,435.3334939653697
27-5,174.61882645849184
27-7,359.4985646550641
27-9,305.19344225359396
27-12,269.50762426745575
27-13,577.3747967388747
27-14,465.793751170536
28-4,253.44161002118767
28-6,488.7167865748728
29-1,448.02802690623173
29-2,353.7130660698481
29-3,199.3843416424305
29-4,230.32325638878638
29-5,642.253860036483
30-1,506.17828226982726
30-2,44.84318229411997
30-3,314.92032004682073
30-4,293.53289216116093
