"id","is_oreb","team","opponent","conference","opp_conference"
"2-2",0,"Kentucky","Duke","SEC","ACC"
"2-3",0,"Duke","Kentucky","ACC","SEC"
"2-4",0,"Kentucky","Duke","SEC","ACC"
"2-6",1,"Kentucky","Duke","SEC","ACC"
"2-8",0,"Kentucky","Duke","SEC","ACC"
"2-9",0,"Duke","Kentucky","ACC","SEC"
"2-10",0,"Kentucky","Duke","SEC","ACC"
"2-11",0,"Duke","Kentucky","ACC","SEC"
"3-1",1,"Michigan","Norfolk St.","BigTen","MEAC"
"4-1",0,"North Carolina","Wofford","ACC","Southern"
"4-2",0,"North Carolina","Wofford","ACC","Southern"
"4-4",0,"North Carolina","Wofford","ACC","Southern"
"4-6",1,"North Carolina","Wofford","ACC","Southern"
"4-7",0,"North Carolina","Wofford","ACC","Southern"
"4-8",1,"North Carolina","Wofford","ACC","Southern"
"4-9",0,"North Carolina","Wofford","ACC","Southern"
"5-3",0,"Oregon","Portland St.","PAC 12","BigSky"
"5-4",0,"Oregon","Portland St.","PAC 12","BigSky"
"5-5",1,"Oregon","Portland St.","PAC 12","BigSky"
"6-1",0,"Virginia","Towson","ACC","Colonial"
"6-3",0,"Virginia","Towson","ACC","Colonial"
"6-4",1,"Virginia","Towson","ACC","Colonial"
"7-1",0,"Louisville","Nicholls St.","ACC","SouthLand"
"8-1",0,"Oregon","Eastern Washington","PAC 12","BigSky"
"8-2",0,"Oregon","Eastern Washington","PAC 12","BigSky"
"8-3",0,"Oregon","Eastern Washington","PAC 12","BigSky"
"8-4",1,"Oregon","Eastern Washington","PAC 12","BigSky"
"8-6",0,"Oregon","Eastern Washington","PAC 12","BigSky"
"8-7",1,"Oregon","Eastern Washington","PAC 12","BigSky"
"9-1",0,"Indiana","Montana St.","BigTen","BigSky"
"9-2",0,"Indiana","Montana St.","BigTen","BigSky"
"10-3",0,"Duke","Army","ACC","Patriot League"
"10-6",0,"Duke","Army","ACC","Patriot League"
"10-7",1,"Duke","Army","ACC","Patriot League"
"10-8",0,"Duke","Army","ACC","Patriot League"
"10-9",0,"Duke","Army","ACC","Patriot League"
"10-10",0,"Duke","Army","ACC","Patriot League"
"10-12",0,"Duke","Army","ACC","Patriot League"
"10-13",0,"Duke","Army","ACC","Patriot League"
"11-2",0,"Iowa","Green Bay","BigTen","Horizon"
"12-2",1,"Vanderbilt","USC","SEC","PAC 12"
"12-3",0,"Vanderbilt","USC","SEC","PAC 12"
"12-4",0,"Vanderbilt","USC","SEC","PAC 12"
"12-6",0,"Vanderbilt","USC","SEC","PAC 12"
"13-1",1,"BYU","Northwestern St.","WestCoast","SouthLand"
